,CMA 통장 비교,MY CAR,MY 계좌,MY 대출,MY 보험,MY 연금·IRP,MY 카드,Npay biz,Npay 머니카드,Npay 제휴카드,Npay 제휴카드 내역,QR촬영 결제,가상자산,결제 내역,결제혜택,고객센터,공지사항,국내주식,기업 복지,내 자산 조회,내 종목,내 환급금 찾기,대한항공 마일지리 적립,머니 내역,머니 충전,머니 통장,머니스토리,멤버십카드 추가,미래에셋 네이버통장,민생회복 소비쿠폰,바코드 충전,보험 고민상담소,보험금 청구,분양정보,브랜드 뽑기,빠른정산,사업자 대출,사업자 보험,선물함,송금,송금 내역,수입·지출 관리,신용대출비교,신용점수,연말정산 모의계산,예금 통장 비교,예약 송금,오토·여행케어,우리집,자동차 금융,자동차보험비교,장기 미사용 계좌,저축보험비교,적금 통장 비교,전세반환보증,전월세대출비교,정책지원금,주택담보대출비교,지도로 매물찾기,카드 발급,카드 이벤트,카드 한도조회,쿠폰,파킹 통장 비교,판매·정산내역,판매자 문의,패밀리결제,페이상품권 선물,펫보험비교,포인트 내역,포인트 선물,포인트 전환,해외여행보험비교,해외주식,현장결제,후불결제
Npay 제휴카드 내역,0.0,11.11,11.11,0.0,0.0,0.0,66.67,0.0,66.67,88.89,100.0,0.0,0.0,0.0,0.0,11.11,11.11,0.0,11.11,0.0,0.0,0.0,0.0,0.0,11.11,0.0,0.0,66.67,11.11,22.22,11.11,0.0,0.0,0.0,11.11,0.0,0.0,0.0,11.11,0.0,0.0,11.11,0.0,22.22,11.11,0.0,0.0,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,0.0,0.0,77.78,77.78,66.67,0.0,0.0,11.11,11.11,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11
QR촬영 결제,0.0,0.0,0.0,0.0,0.0,0.0,11.11,11.11,0.0,0.0,0.0,100.0,0.0,66.67,88.89,0.0,0.0,0.0,0.0,0.0,0.0,11.11,0.0,0.0,22.22,0.0,0.0,11.11,11.11,11.11,44.44,0.0,0.0,0.0,0.0,11.11,0.0,0.0,0.0,11.11,0.0,22.22,0.0,11.11,11.11,0.0,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,0.0,11.11,0.0,88.89,0.0,0.0,11.11,0.0,0.0,0.0,0.0,100.0,77.78
가상자산,33.33,33.33,33.33,0.0,0.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,55.56,0.0,33.33,55.56,0.0,0.0,0.0,0.0,11.11,0.0,0.0,22.22,0.0,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,0.0,11.11,11.11,11.11,0.0,0.0,22.22,22.22,11.11,11.11,0.0,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.56,0.0,0.0,0.0,11.11,11.11,0.0,0.0,0.0,0.0,44.44,0.0,0.0
결제 내역,0.0,0.0,0.0,0.0,0.0,0.0,22.22,0.0,0.0,0.0,0.0,66.67,0.0,100.0,55.56,0.0,0.0,0.0,0.0,0.0,0.0,22.22,0.0,0.0,11.11,0.0,0.0,22.22,11.11,33.33,44.44,0.0,0.0,0.0,11.11,44.44,0.0,0.0,0.0,22.22,11.11,33.33,0.0,11.11,22.22,0.0,22.22,0.0,0.0,11.11,0.0,0.0,0.0,0.0,0.0,0.0,11.11,0.0,0.0,11.11,11.11,11.11,0.0,0.0,11.11,0.0,55.56,0.0,0.0,11.11,0.0,0.0,0.0,0.0,66.67,55.56
결제혜택,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,0.0,0.0,0.0,88.89,0.0,55.56,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,11.11,33.33,0.0,11.11,11.11,11.11,11.11,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,0.0,22.22,0.0,0.0,0.0,0.0,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,0.0,11.11,0.0,11.11,0.0,88.89,0.0,0.0,22.22,0.0,11.11,0.0,0.0,88.89,77.78
고객센터,0.0,33.33,11.11,0.0,0.0,11.11,0.0,11.11,0.0,0.0,11.11,0.0,0.0,0.0,0.0,100.0,100.0,0.0,33.33,11.11,11.11,44.44,11.11,0.0,0.0,0.0,11.11,0.0,0.0,33.33,0.0,11.11,11.11,0.0,0.0,11.11,0.0,0.0,11.11,0.0,11.11,11.11,0.0,11.11,22.22,0.0,0.0,22.22,0.0,0.0,0.0,0.0,11.11,0.0,0.0,0.0,44.44,0.0,0.0,0.0,11.11,0.0,0.0,11.11,22.22,88.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
공지사항,0.0,33.33,11.11,0.0,0.0,11.11,0.0,11.11,0.0,0.0,11.11,0.0,0.0,0.0,0.0,100.0,100.0,0.0,33.33,11.11,11.11,44.44,11.11,0.0,0.0,0.0,11.11,0.0,0.0,33.33,0.0,11.11,11.11,0.0,0.0,11.11,0.0,0.0,11.11,0.0,11.11,11.11,0.0,11.11,22.22,0.0,0.0,22.22,0.0,0.0,0.0,0.0,11.11,0.0,0.0,0.0,44.44,0.0,0.0,0.0,11.11,0.0,0.0,11.11,22.22,88.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
국내주식,44.44,11.11,0.0,0.0,0.0,22.22,0.0,0.0,0.0,0.0,0.0,0.0,55.56,0.0,0.0,0.0,0.0,100.0,0.0,0.0,77.78,0.0,0.0,0.0,0.0,0.0,11.11,0.0,22.22,0.0,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,0.0,0.0,0.0,11.11,0.0,0.0,0.0,0.0,0.0,88.89,0.0,0.0
기업 복지,0.0,22.22,0.0,0.0,0.0,11.11,0.0,22.22,0.0,0.0,11.11,0.0,0.0,0.0,0.0,33.33,33.33,0.0,100.0,0.0,11.11,22.22,22.22,0.0,0.0,0.0,11.11,0.0,11.11,11.11,0.0,0.0,11.11,0.0,33.33,22.22,44.44,22.22,0.0,0.0,0.0,11.11,0.0,0.0,0.0,0.0,0.0,11.11,0.0,0.0,0.0,11.11,11.11,11.11,0.0,11.11,33.33,0.0,11.11,0.0,11.11,0.0,0.0,11.11,55.56,22.22,0.0,0.0,0.0,11.11,0.0,11.11,0.0,0.0,0.0,0.0
내 자산 조회,11.11,33.33,66.67,11.11,11.11,11.11,11.11,11.11,0.0,0.0,0.0,0.0,33.33,0.0,0.0,11.11,11.11,0.0,0.0,100.0,11.11,22.22,0.0,0.0,11.11,22.22,0.0,0.0,11.11,0.0,0.0,0.0,0.0,11.11,0.0,11.11,0.0,0.0,11.11,11.11,22.22,44.44,0.0,22.22,22.22,22.22,11.11,0.0,11.11,22.22,11.11,33.33,0.0,22.22,11.11,0.0,11.11,11.11,0.0,0.0,0.0,0.0,0.0,44.44,11.11,11.11,0.0,0.0,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
내 종목,44.44,33.33,11.11,0.0,0.0,44.44,0.0,0.0,0.0,0.0,0.0,0.0,55.56,0.0,0.0,11.11,11.11,77.78,11.11,11.11,100.0,11.11,11.11,0.0,0.0,0.0,22.22,0.0,22.22,11.11,11.11,0.0,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.22,0.0,0.0,11.11,0.0,0.0,11.11,11.11,22.22,0.0,0.0,11.11,0.0,0.0,0.0,11.11,0.0,0.0,0.0,0.0,0.0,0.0,33.33,0.0,0.0,0.0,11.11,0.0,0.0,0.0,0.0,0.0,66.67,0.0,0.0
내 환급금 찾기,11.11,22.22,22.22,0.0,0.0,22.22,11.11,0.0,0.0,0.0,0.0,11.11,0.0,22.22,0.0,44.44,44.44,0.0,22.22,22.22,11.11,100.0,22.22,0.0,0.0,0.0,11.11,0.0,11.11,44.44,11.11,11.11,11.11,0.0,22.22,22.22,0.0,0.0,11.11,0.0,11.11,33.33,0.0,22.22,33.33,11.11,0.0,11.11,0.0,11.11,0.0,22.22,11.11,11.11,0.0,11.11,44.44,0.0,0.0,0.0,0.0,0.0,0.0,11.11,11.11,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,0.0
대한항공 마일지리 적립,0.0,11.11,0.0,0.0,0.0,11.11,0.0,11.11,0.0,0.0,0.0,0.0,0.0,0.0,11.11,11.11,11.11,0.0,22.22,0.0,11.11,22.22,100.0,44.44,33.33,33.33,66.67,0.0,0.0,22.22,11.11,0.0,11.11,11.11,22.22,0.0,0.0,0.0,0.0,0.0,0.0,11.11,0.0,11.11,11.11,0.0,0.0,22.22,11.11,11.11,0.0,0.0,11.11,0.0,11.11,11.11,22.22,0.0,11.11,0.0,11.11,0.0,55.56,11.11,0.0,0.0,0.0,0.0,0.0,33.33,33.33,44.44,0.0,0.0,0.0,0.0
머니 내역,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,22.22,0.0,0.0,0.0,0.0,0.0,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.44,100.0,55.56,77.78,55.56,0.0,0.0,0.0,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,0.0,44.44,0.0,0.0,0.0,0.0,11.11,0.0,66.67,55.56,77.78,0.0,11.11,0.0,0.0
머니 충전,0.0,0.0,0.0,0.0,0.0,0.0,11.11,33.33,22.22,11.11,11.11,22.22,0.0,11.11,33.33,0.0,0.0,0.0,0.0,11.11,0.0,0.0,33.33,55.56,100.0,33.33,33.33,11.11,0.0,0.0,22.22,0.0,0.0,0.0,0.0,11.11,0.0,0.0,0.0,11.11,11.11,11.11,0.0,0.0,0.0,0.0,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,22.22,11.11,33.33,0.0,0.0,0.0,22.22,0.0,0.0,22.22,11.11,33.33,0.0,11.11,22.22,11.11
머니 통장,11.11,0.0,22.22,0.0,0.0,0.0,0.0,11.11,11.11,0.0,0.0,0.0,11.11,0.0,0.0,0.0,0.0,0.0,0.0,22.22,0.0,0.0,33.33,77.78,33.33,100.0,44.44,0.0,11.11,0.0,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,0.0,11.11,0.0,22.22,0.0,0.0,0.0,0.0,0.0,11.11,0.0,22.22,0.0,0.0,11.11,0.0,0.0,0.0,0.0,0.0,44.44,22.22,0.0,0.0,0.0,11.11,0.0,55.56,55.56,66.67,0.0,11.11,0.0,0.0
머니스토리,0.0,11.11,0.0,0.0,0.0,11.11,0.0,11.11,11.11,0.0,0.0,0.0,0.0,0.0,11.11,11.11,11.11,11.11,11.11,0.0,22.22,11.11,66.67,55.56,33.33,44.44,100.0,0.0,0.0,11.11,11.11,0.0,11.11,0.0,0.0,0.0,0.0,0.0,11.11,0.0,0.0,11.11,0.0,11.11,0.0,0.0,0.0,11.11,0.0,0.0,0.0,0.0,11.11,0.0,0.0,0.0,11.11,0.0,0.0,0.0,11.11,0.0,55.56,11.11,0.0,0.0,0.0,11.11,0.0,44.44,55.56,55.56,0.0,11.11,0.0,0.0
멤버십카드 추가,0.0,0.0,0.0,0.0,0.0,0.0,66.67,0.0,66.67,77.78,66.67,11.11,0.0,22.22,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,0.0,0.0,100.0,11.11,44.44,0.0,0.0,0.0,0.0,0.0,11.11,0.0,0.0,0.0,11.11,0.0,22.22,0.0,22.22,0.0,0.0,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,0.0,0.0,88.89,66.67,77.78,0.0,0.0,0.0,0.0,22.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,11.11
미래에셋 네이버통장,33.33,0.0,44.44,0.0,0.0,11.11,0.0,0.0,0.0,11.11,11.11,11.11,22.22,11.11,11.11,0.0,0.0,22.22,11.11,11.11,22.22,11.11,0.0,0.0,0.0,11.11,0.0,11.11,100.0,11.11,11.11,0.0,0.0,0.0,11.11,0.0,11.11,11.11,11.11,11.11,0.0,11.11,0.0,0.0,11.11,44.44,11.11,11.11,0.0,0.0,0.0,22.22,0.0,44.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.22,11.11,0.0,11.11,0.0,0.0,0.0,0.0,0.0,0.0,22.22,11.11,22.22
민생회복 소비쿠폰,0.0,11.11,0.0,0.0,0.0,11.11,22.22,0.0,11.11,22.22,22.22,11.11,0.0,33.33,11.11,33.33,33.33,0.0,11.11,0.0,11.11,44.44,22.22,0.0,0.0,0.0,11.11,44.44,11.11,100.0,0.0,11.11,11.11,0.0,22.22,22.22,0.0,0.0,0.0,11.11,0.0,33.33,0.0,11.11,22.22,0.0,11.11,22.22,0.0,22.22,0.0,0.0,11.11,0.0,0.0,0.0,44.44,0.0,0.0,33.33,22.22,33.33,11.11,11.11,0.0,22.22,22.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,11.11
바코드 충전,11.11,0.0,11.11,0.0,0.0,0.0,11.11,22.22,0.0,11.11,11.11,44.44,11.11,44.44,33.33,0.0,0.0,11.11,0.0,0.0,11.11,11.11,11.11,11.11,22.22,11.11,11.11,0.0,11.11,0.0,100.0,0.0,0.0,0.0,22.22,11.11,0.0,0.0,11.11,0.0,0.0,11.11,0.0,11.11,33.33,0.0,0.0,33.33,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,11.11,11.11,0.0,33.33,11.11,0.0,33.33,11.11,11.11,0.0,0.0,44.44,44.44
보험 고민상담소,0.0,22.22,0.0,0.0,77.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,11.11,0.0,0.0,0.0,0.0,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,0.0,100.0,77.78,0.0,0.0,0.0,0.0,44.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,0.0,33.33,77.78,0.0,77.78,0.0,0.0,0.0,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,0.0,0.0,77.78,0.0,0.0,0.0,88.89,0.0,0.0,0.0
보험금 청구,0.0,33.33,0.0,0.0,77.78,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,11.11,0.0,11.11,0.0,11.11,11.11,11.11,0.0,0.0,0.0,11.11,0.0,0.0,11.11,0.0,77.78,100.0,0.0,0.0,0.0,0.0,33.33,0.0,0.0,0.0,11.11,0.0,0.0,0.0,0.0,0.0,44.44,0.0,33.33,77.78,0.0,100.0,0.0,0.0,0.0,11.11,0.0,0.0,0.0,0.0,0.0,0.0,11.11,0.0,0.0,0.0,0.0,77.78,0.0,0.0,0.0,88.89,0.0,0.0,0.0
분양정보,0.0,0.0,0.0,0.0,0.0,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,0.0,0.0,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.56,0.0,0.0,0.0,0.0,0.0,77.78,22.22,0.0,33.33,66.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
브랜드 뽑기,0.0,0.0,11.11,0.0,0.0,0.0,0.0,11.11,0.0,11.11,11.11,0.0,0.0,11.11,0.0,0.0,0.0,0.0,33.33,0.0,0.0,22.22,22.22,0.0,0.0,0.0,0.0,0.0,11.11,22.22,22.22,0.0,0.0,0.0,100.0,22.22,11.11,11.11,33.33,0.0,0.0,11.11,0.0,0.0,44.44,0.0,0.0,33.33,11.11,22.22,0.0,11.11,0.0,11.11,0.0,11.11,11.11,0.0,11.11,0.0,0.0,0.0,11.11,0.0,11.11,0.0,0.0,11.11,0.0,22.22,0.0,11.11,0.0,0.0,0.0,11.11
빠른정산,0.0,0.0,0.0,0.0,0.0,0.0,22.22,33.33,0.0,0.0,0.0,11.11,0.0,44.44,0.0,11.11,11.11,0.0,22.22,11.11,0.0,22.22,0.0,0.0,11.11,0.0,0.0,11.11,0.0,22.22,11.11,0.0,0.0,0.0,22.22,100.0,11.11,0.0,0.0,33.33,33.33,22.22,0.0,11.11,33.33,0.0,22.22,11.11,0.0,11.11,0.0,11.11,0.0,11.11,0.0,0.0,11.11,0.0,11.11,11.11,11.11,11.11,0.0,0.0,11.11,11.11,0.0,0.0,0.0,11.11,0.0,11.11,0.0,0.0,11.11,0.0
사업자 대출,0.0,0.0,0.0,22.22,0.0,0.0,0.0,22.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,0.0,0.0,0.0,0.0,0.0,11.11,11.11,100.0,44.44,0.0,0.0,0.0,0.0,22.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,11.11,0.0,0.0,0.0,0.0,11.11,0.0,0.0,55.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
사업자 보험,0.0,11.11,0.0,0.0,44.44,0.0,0.0,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,0.0,0.0,44.44,33.33,0.0,11.11,0.0,44.44,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,0.0,22.22,33.33,0.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,0.0,0.0,0.0,33.33,0.0,0.0,0.0,44.44,0.0,0.0,0.0
선물함,0.0,11.11,22.22,0.0,0.0,0.0,0.0,0.0,0.0,11.11,11.11,0.0,0.0,0.0,0.0,11.11,11.11,0.0,0.0,11.11,0.0,11.11,0.0,0.0,0.0,0.0,11.11,0.0,11.11,0.0,11.11,0.0,0.0,0.0,33.33,0.0,0.0,0.0,100.0,0.0,11.11,0.0,0.0,11.11,22.22,0.0,0.0,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.22,0.0,11.11,11.11,0.0,66.67,0.0,0.0,33.33,0.0,0.0,0.0,0.0,11.11
송금,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,0.0,0.0,0.0,11.11,0.0,22.22,11.11,0.0,0.0,0.0,0.0,11.11,0.0,0.0,0.0,0.0,11.11,0.0,0.0,11.11,11.11,11.11,0.0,0.0,0.0,0.0,0.0,33.33,0.0,0.0,0.0,100.0,88.89,22.22,0.0,0.0,0.0,0.0,88.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,11.11,0.0,0.0,0.0,11.11,0.0,0.0,11.11,11.11
송금 내역,0.0,11.11,11.11,0.0,0.0,0.0,0.0,11.11,0.0,0.0,0.0,0.0,0.0,11.11,0.0,11.11,11.11,0.0,0.0,22.22,0.0,11.11,0.0,0.0,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,0.0,0.0,11.11,88.89,100.0,11.11,0.0,11.11,11.11,0.0,77.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,11.11,0.0,11.11,0.0,0.0,0.0,11.11,0.0,0.0,0.0,0.0
